Time,x,y,z
4.953,-9.287131838809782e-12,-1.0531700714048206e-11,2.9734528867877778e-12
4.954,9.208828157982471e-12,1.0114897584293082e-11,1.0096139342537844e-12
4.957,-9.3535881819345e-12,-1.049287753825354e-11,3.2007786561091558e-12
4.957,9.268790717745726e-12,1.0102503759068674e-11,1.0744607843649817e-12
4.958,-9.350372324526374e-12,-1.0461023271278442e-11,2.859016620770864e-12
4.958,9.276294677495617e-12,1.0075852741763592e-11,1.1010885121646504e-12
4.959,-9.356118255244804e-12,-1.043237483218778e-11,2.8356534205078413e-12
4.96,9.286172007872667e-12,1.0057336389430289e-11,1.1202942741448577e-12
4.961,-9.352519664810214e-12,-1.0408630315940992e-11,2.818422703654523e-12
4.962,9.286870646124467e-12,1.0044291826703472e-11,1.1350064084330853e-12
4.963,-9.340206239942774e-12,-1.0390593844190473e-11,2.812141714036983e-12
4.964,9.278859944976204e-12,1.0037279588015864e-11,1.1358888414484572e-12
4.974,-9.32456927789419e-12,-1.0368625147711594e-11,2.7860058844247976e-12
4.976,9.258355980375318e-12,1.0001973652794692e-11,1.5198808185519565e-12
4.979,-9.312742748910235e-12,-1.0352956147907915e-11,2.7879214354758326e-12
4.981,9.26927314471175e-12,1.0043114676622406e-11,1.1267001083409816e-12
4.981,-9.289175018174996e-12,-1.0375312857087356e-11,2.8274472764087097e-12
4.982,9.241648340294381e-12,1.0055754877968048e-11,1.0928305206514134e-12
4.982,-9.255185549331622e-12,-1.0385743704776345e-11,2.8653050488802317e-12
4.982,9.210524326711997e-12,1.0074455968369231e-11,1.053233875245079e-12
4.982,-9.220046584618902e-12,-1.0403189530524484e-11,2.912423843856121e-12
4.9830000000000005,9.177559007894438e-12,1.0098394891988442e-11,1.0067322948817628e-12
4.9830000000000005,-9.185344895759601e-12,-1.0426792186193463e-11,2.9578839101220542e-12
4.9830000000000005,9.144094259770745e-12,1.0126428556467586e-11,9.559599502208036e-13
4.9830000000000005,-9.157760698361989e-12,-1.0444308392139804e-11,2.9630725651821696e-12
4.9830000000000005,9.10745939942557e-12,1.0120742564357959e-11,1.3354208157281855e-12
4.9830000000000005,-9.142592370406092e-12,-1.0464720761024781e-11,3.0069296498124746e-12
4.984,9.111769964622444e-12,1.0190239532055257e-11,8.840109340334973e-13
4.984,-9.122689016749352e-12,-1.0519072321456513e-11,3.07168013256506e-12
4.984,9.08297831380885e-12,1.0222977598731846e-11,8.34503660753652e-13
4.985,-9.097766930228268e-12,-1.0553656773651011e-11,3.1160549697024158e-12
4.985,9.056633671691913e-12,1.025514772257054e-11,7.87055420973042e-13
4.986,-9.075532538001859e-12,-1.0587761459524104e-11,3.1643023757720385e-12
4.986,9.032709984463377e-12,1.0286062986635326e-11,7.428162114561291e-13
4.987,-9.055664936645414e-12,-1.0620577393207337e-11,3.205649676354744e-12
4.988,9.01699812974451e-12,1.0297947971533701e-11,7.149677379295549e-13
4.989,-9.090404412015792e-12,-1.0645241225418138e-11,3.6027624356979245e-12
4.99,9.039014976079328e-12,1.0346968386667945e-11,7.029413164054808e-13
4.992,-9.052956257430243e-12,-1.0678225867380051e-11,3.2378162651912962e-12
4.992,9.007080562684426e-12,1.0367796383158674e-11,6.646300178281715e-13
4.993,-9.03884584022467e-12,-1.0704656018597358e-11,3.2742477896546828e-12
4.994,8.997395138508502e-12,1.0371004188347859e-11,6.422524041775714e-13
4.995,-9.083207386319699e-12,-1.0721434089563191e-11,3.6900147521802626e-12
4.996,9.028036194071426e-12,1.041338946088895e-11,6.489857680450575e-13
4.997,-9.05124788664441e-12,-1.0746904215523483e-11,3.2803637723749695e-12
4.998,9.00150208252009e-12,1.042388804600503e-11,6.1697220957461e-13
4.9990000000000006,-9.045718121708377e-12,-1.0763984442801733e-11,3.301785747679498e-12
5.0,8.993056305172111e-12,1.043371230839601e-11,6.035682233206649e-13
5.001,-9.044937596232059e-12,-1.0776802435845422e-11,3.3149340912044797e-12
5.002,8.98892476030408e-12,1.043795578952772e-11,5.929162023888285e-13
5.002,-9.050117189445525e-12,-1.0784582413130222e-11,3.314115648668609e-12
5.002,8.990344831450995e-12,1.0435914961156754e-11,5.941459964331418e-13
5.002,-9.06234488295898e-12,-1.078655632769932e-11,3.3065954003559448e-12
5.002,8.99853969481449e-12,1.0427146250207456e-11,6.085534022567782e-13
5.002,-9.089354906930368e-12,-1.0768557895476734e-11,3.235384404922663e-12
5.002,9.009889669427606e-12,1.0366667874640805e-11,1.184622566848045e-12
5.002,-9.136662448374833e-12,-1.0743230887124915e-11,3.201798257172359e-12
5.002,9.077870648475506e-12,1.0390875334230363e-11,7.068918229953252e-13
5.002,-9.181943915155043e-12,-1.075063671858053e-11,3.167093351557517e-12
5.002,9.110045683234088e-12,1.0363400318848479e-11,7.582730555963554e-13
5.002,-9.223458461284863e-12,-1.0726288608588352e-11,3.1086426489473504e-12
5.013,9.149154392488139e-12,1.0331562890803495e-11,8.117748558076315e-13
5.015,-9.269095431836733e-12,-1.0696477742663745e-11,3.0565414922263936e-12
5.016,9.193419107468933e-12,1.029676165569483e-11,8.736062569167197e-13
5.017,-9.316458174076797e-12,-1.0662345235888176e-11,2.992838754698355e-12
5.018,9.240521156106755e-12,1.0260398872114727e-11,9.39869543439968e-13
5.019,-9.362972395659826e-12,-1.062528380632508e-11,2.921508188246263e-12
5.02,9.28785590225823e-12,1.0223863557605144e-11,1.0118746814019687e-12
5.021,-9.412380982831408e-12,-1.0571870799367197e-11,2.8052754009635613e-12
5.022,9.326594363974036e-12,1.0139740615180382e-11,1.6610341436955775e-12
5.023,-9.478613624051327e-12,-1.050266545082231e-11,2.674266294624372e-12
5.023,9.408865621470844e-12,1.0105564650953082e-11,1.802387003666921e-12
5.025,-9.543768818606282e-12,-1.047781964272775e-11,2.627251541424783e-12
5.026,9.494388773729207e-12,1.012867236899562e-11,1.2667239064551179e-12
5.027,-9.577270308092151e-12,-1.047204857850485e-11,2.5930644715840034e-12
5.028,9.520134528133582e-12,1.0101858861201927e-11,1.3064896388278767e-12
5.029,-9.590095115142817e-12,-1.0440087730530953e-11,2.5593635267719086e-12
5.03,9.536957199690862e-12,1.0079374101340617e-11,1.3385732384930514e-12
5.031,-9.593430430833615e-12,-1.0412274562770792e-11,2.5367076773533865e-12
5.031,9.544499207307888e-12,1.0061845300850087e-11,1.3576942904565155e-12
5.031,-9.587481820904809e-12,-1.0389534105678933e-11,2.5191261716575815e-12
5.034,9.54284422446043e-12,1.0049923638139904e-11,1.362830959324208e-12
5.035,-9.572919125250607e-12,-1.0372670986433833e-11,2.516690730919302e-12
5.035,9.532557718959463e-12,1.0044122462610696e-11,1.3632000807241875e-12
5.035,-9.55083423117791e-12,-1.0362424045171423e-11,2.527595674533536e-12
5.038,9.514610370827498e-12,1.0044822975072742e-11,1.3461328442113126e-12
